Main New Gloss Cat,Consultant,Main New Gloss,Gloss Variant,D Start HS,N-D Start HS,D End HS,N-D End HS,Passive Arm,Combined,Separate,Session,Scene,Start,End,Combined,Separate
,Dana,DAUGHTER,DAUGHTER,B-xd,B-L,B-xd,B-L,N,,MOV,ASL_2007_05_24,10,3110,3151,,MOV
GIRL+BABY,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,GIRL+BABY_2,GIRL+BABY_2,10,A,B-L,A,N,,MOV,ASL_2008_01_18,12,1886,1918,,MOV
,Tyler,GIRL+BABY_2,GIRL+BABY_2,10,10,B-L,10,N,MOV,MOV,ASL_2008_05_12b,12,1966,2004,MOV,MOV
,Naomi,GIRL+BABY_2,GIRL+BABY,A,bent-B-L,bent-B-L,bent-B-L,N,,MOV,ASL_2008_08_06,12,2028,2060,,MOV
DAY,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Tyler,DAY,DAY,1,Rlxd,1,Rlxd,Y,,MOV,ASL_2008_05_12b,12,2430,2460,,MOV
,Naomi,DAY,DAY,1,Rlxd,1,Rlxd,Y,MOV,MOV,ASL_2008_08_06,12,2295,2317,MOV,MOV
,Lana,DAY,DAY,1,B-L,1,B-L,Y,,MOV,ASL_2006_09_26,61,1097,1127,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Liz,DAY,(D)DAY,D,D,D,D,Y,MOV,MOV,ASL_2008_01_18,12,2125,2160,MOV,MOV
,Brady,DAY,(D)DAY,D,bent-B,D,bent-B,Y,,MOV,ASL_2011_06_08_Brady,32,8367,8384,,MOV
COLLAPSE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Tyler,COLLAPSE,COLLAPSE,S,B,S,B,Y,MOV,MOV,ASL_2008_05_12a,49,2037,2080,MOV,MOV
,Brady,COLLAPSE,COLLAPSE,S,B-xd,S,B-xd,Y,,MOV,ASL_2011_06_08_Brady,28,14042,14074,,MOV
DEAF,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,DEAF,DEAF,D,,D,,N,,MOV,ASL_2008_01_18,12,2336,2365,,MOV
,Tyler,DEAF,DEAF,1,,1,,N,,MOV,ASL_2008_05_12b,12,2630,2655,,MOV
,Naomi,DEAF,DEAF,1,,1,,N,,MOV,ASL_2008_08_06,12,2520,2545,,MOV
,Brady,DEAF,DEAF,1,,1,,N,MOV,MOV,ASL_2011_06_08_Brady,32,8589,8615,MOV,MOV
,Brady,DEAF,DEAF,1,,1,,N,,MOV,ASL_2011_06_14_Brady,3,11563,11583,,MOV
,Lana,DEAF,DEAF,1,,1,,N,,MOV,ASL_2006_10_10,6,1950,1967,,MOV
,Dana,DEAF,DEAF,1,,1,,N,,MOV,ASL_2007_05_24,10,2264,2318,,MOV
DISCUSS,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,DISCUSS,DISCUSS+,1,B-L,1,B-L,N,,MOV,ASL_2008_01_18,13,251,290,,MOV
,Liz,DISCUSS,DISCUSS++,1,B-L,1,B-L,N,,MOV,ASL_2008_01_18,19,1840,1885,,MOV
,Tyler,DISCUSS,DISCUSS++,1,B-L,1,B-L,N,,MOV,ASL_2008_05_12b,18,1760,1805,,MOV
,Naomi,DISCUSS,DISCUSS+,1,B-L,1,B-L,N,MOV,MOV,ASL_2008_08_06,12,3020,3055,MOV,MOV
,Naomi,DISCUSS,DISCUSS++,1,B-L,1,B-L,N,,MOV,ASL_2008_08_06,19,2110,2151,,MOV
,Brady,DISCUSS,DISCUSS+++,1,B-L,1,B-L,N,,MOV,ASL_2011_06_08_Brady,32,9757,9809,,MOV
,Brady,DISCUSS,DISCUSS+++,1,B-L,1,B-L,N,,MOV,ASL_2011_06_08_Brady,35,5059,5103,,MOV
,Lana,DISCUSS,DISCUSS+,1,B-L,1,B-L,N,,MOV,ASL_2006_10_10,7,1824,1850,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Tyler,DISCUSS,DISCUSS-INTENSELY+,1,B-L,1,B-L,N,MOV,MOV,ASL_2008_05_12b,12,3185,3236,MOV,MOV
,Dana,DISCUSS,DISCUSS-INTENSELY+,1,B-L,1,B-L,N,,MOV,ASL_2007_05_24,11,1953,2041,,MOV
DECIDE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,DECIDE,DECIDE,F/9,F/9,F/9,F/9,N,,MOV,ASL_2008_01_18,13,1015,1045,,MOV
,Liz,DECIDE,DECIDE,F/9,F/9,F/9,F/9,N,,MOV,ASL_2008_01_18,13,1407,1425,,MOV
,Tyler,DECIDE,DECIDE,F/9,F/9,F/9,F/9,N,,MOV,ASL_2008_05_12b,13,1102,1130,,MOV
,Naomi,DECIDE,DECIDE,F/9,F/9,F/9,F/9,N,MOV,MOV,ASL_2008_08_06,13,995,1020,MOV,MOV
,Naomi,DECIDE,DECIDE,F/9,F/9,F/9,F/9,N,,MOV,ASL_2008_08_06,13,1461,1485,,MOV
,Brady,DECIDE,DECIDE,F/9,F/9,F/9,F/9,N,,MOV,ASL_2011_06_08_Brady,32,10973,10995,,MOV
,Brady,DECIDE,DECIDE,F/9,F/9,F/9,F/9,N,,MOV,ASL_2011_07_22_Brady,41,1570,1588,,MOV
,Lana,DECIDE,DECIDE,F/9,F/9,F/9,F/9,N,,MOV,ASL_2006_01_20,22,1045,1078,,MOV
COURT,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,COURT,COURT,F/9,F/9,F/9,F/9,N,,MOV,ASL_2008_01_18,7,311,367,,MOV
,Liz,COURT,COURT,F/9,F/9,F/9,F/9,N,,MOV,ASL_2008_02_01,38,585,640,,MOV
,Tyler,COURT,COURT,F/9,F/9,F/9,F/9,N,,MOV,ASL_2008_05_12b,6,3125,3175,,MOV
,Naomi,COURT,COURT,F/9,F/9,F/9,F/9,N,,MOV,ASL_2008_08_06,6,2845,2905,,MOV
,Naomi,COURT,COURT,F/9,F/9,F/9,F/9,N,MOV,MOV,ASL_2008_08_13,32,373,427,MOV,MOV
,Brady,COURT,COURT,F/9,F/9,F/9,F/9,N,,MOV,ASL_2011_06_08_Brady,30,11641,11685,,MOV
,Brady,COURT,COURT,F/9,F/9,F/9,F/9,N,,MOV,ASL_2011_06_14_Brady,43,8134,8167,,MOV
,Lana,COURT,COURT,F/9,F/9,F/9,F/9,N,,MOV,ASL_2006_10_10,6,1555,1600,,MOV
,Dana,COURT,COURT,F/9,F/9,F/9,F/9,N,,MOV,ASL_2007_05_24,10,1834,1902,,MOV
DECORATE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,DECORATE,DECORATE,crvd-5,crvd-5,crvd-5,crvd-5,N,,MOV,ASL_2008_01_18,13,1650,1716,,MOV
,Tyler,DECORATE,DECORATE,crvd-5,crvd-5,crvd-5,crvd-5,N,MOV,MOV,ASL_2008_05_12b,13,1680,1730,MOV,MOV
,Naomi,DECORATE,DECORATE,crvd-5,crvd-5,crvd-5,crvd-5,N,,MOV,ASL_2008_08_06,13,1767,1850,,MOV
,Brady,DECORATE,DECORATE,crvd-5,crvd-5,crvd-5,crvd-5,N,,MOV,ASL_2011_06_08_Brady,32,11438,11475,,MOV
DEER,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,DEER,DEER+,5,5,5,5,N,MOV,MOV,ASL_2008_01_18,13,2130,2180,MOV,MOV
,Naomi,DEER,DEER+,5,5,5,5,N,,MOV,ASL_2008_08_06,13,2395,2420,,MOV
MOOSE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Tyler,MOOSE,MOOSE,5,5,5,5,N,MOV,MOV,ASL_2008_05_12b,13,2230,2265,MOV,MOV
,Brady,MOOSE,MOOSE,5,5,5,5,N,,MOV,ASL_2011_06_08_Brady,32,12387,12407,,MOV
COW,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,COW,COW,Y,Y,Y,Y,N,,MOV,ASL_2008_01_18,7,2715,2740,,MOV
,Tyler,COW,COW,Y,Y,Y,Y,N,MOV,MOV,ASL_2008_05_12b,7,2645,2675,MOV,MOV
,Naomi,COW,COW,Y,Y,Y,Y,N,,MOV,ASL_2008_08_06,7,2485,2511,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Brady,COW,(1h)COW,Y,,Y,,N,,MOV,ASL_2011_06_08_Brady,31,2300,2321,,MOV
,Lana,COW,(1h)COW,Y,,Y,,N,MOV,MOV,ASL_2006_10_10,6,1040,1066,MOV,MOV
,Dana,COW,(1h)COW,Y,,Y,,N,,MOV,ASL_2007_05_24,10,1236,1277,,MOV
HORSE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,HORSE,HORSE++,U-L,,bent-U-L,,N,,MOV,ASL_2008_02_01,24,1905,1931,,MOV
,Naomi,HORSE,HORSE++,U-L,,bent-U-L,,N,MOV,MOV,ASL_2008_08_13,20,6725,6750,MOV,MOV
,Brady,HORSE,HORSE++,U-L,,U-L,,N,,MOV,ASL_2011_06_14_Brady,35,5071,5096,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Tyler,HORSE,(2h)HORSE+++,U-L,U-L,bent-U-L,bent-U-L,N,MOV,MOV,ASL_2008_05_29a,52,3076,3117,MOV,MOV
DEVIL/MISCHIEVOUS,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,DEVIL/MISCHIEVOUS,DEVIL/MISCHIEVOUS+,3,,crvd-3,,N,,MOV,ASL_2008_01_18,16,1655,1695,,MOV
,Naomi,DEVIL/MISCHIEVOUS,DEVIL/MISCHIEVOUS+,3,,crvd-3,,N,,MOV,ASL_2008_08_06,16,2166,2201,,MOV
,Brady,DEVIL/MISCHIEVOUS,DEVIL/MISCHIEVOUS++,3,,crvd-3,,N,MOV,MOV,ASL_2011_06_08_Brady,33,11272,11308,MOV,MOV
,Lana,DEVIL/MISCHIEVOUS,DEVIL/MISCHIEVOUS+,3,,crvd-3,,N,,MOV,ASL_2006_10_10,18,2044,2070,,MOV
,Dana,DEVIL/MISCHIEVOUS,DEVIL/MISCHIEVOUS+,3,,crvd-3,,N,,MOV,ASL_2007_05_24,20,1964,2026,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Liz,DEVIL/MISCHIEVOUS,(2h)DEVIL/MISCHIEVOUS+,3,3,crvd-3,crvd-3,N,,MOV,ASL_2008_02_15,6,1527,1571,,MOV
,Tyler,DEVIL/MISCHIEVOUS,(2h)DEVIL/MISCHIEVOUS++,3,3,crvd-3,crvd-3,N,,MOV,ASL_2008_05_12b,15,4715,4751,,MOV
,Tyler,DEVIL/MISCHIEVOUS,(2h)DEVIL/MISCHIEVOUS+,3,3,crvd-3,crvd-3,N,MOV,MOV,ASL_2008_06_10,16,1050,1073,MOV,MOV
,Brady,DEVIL/MISCHIEVOUS,(2h)DEVIL/MISCHIEVOUS++,3,3,crvd-3,crvd-3,N,,MOV,ASL_2011_07_22_Brady,47,1989,2043,,MOV
,Brady,DEVIL/MISCHIEVOUS,(2h)DEVIL/MISCHIEVOUS++,3,3,crvd-3,crvd-3,N,,MOV,ASL_2011_07_22_Brady,48,121,185,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Liz,DEVIL/MISCHIEVOUS,(2h)MISCHIEVOUS+,3,3,crvd-3,crvd-3,N,MOV,MOV,ASL_2008_02_15,6,1050,1097,MOV,MOV
,Brady,DEVIL/MISCHIEVOUS,(2h)MISCHIEVOUS++,3,3,crvd-V,crvd-V,N,,MOV,ASL_2011_07_19_Brady,3,1801,1843,,MOV
STUBBORN,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,STUBBORN,STUBBORN,B-L,,10,,N,MOV,MOV,ASL_2008_02_29,50,1287,1322,MOV,MOV
,Brady,STUBBORN,STUBBORN,B-L,,10,,N,,MOV,ASL_2011_07_19_Brady,101,2510,2525,,MOV
DONKEY,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Brady,DONKEY,DONKEY++,B-L,,bent-B-L,,N,MOV,MOV,ASL_2011_06_08_Brady,37,2548,2594,MOV,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Tyler,DONKEY,(2h)DONKEY++,B-L,B-L,bent-B-L,bent-B-L,N,MOV,MOV,ASL_2008_05_29a,1,6251,6298,MOV,MOV
BISON/BUFFALO,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,BISON/BUFFALO,BISON/BUFFALO,crvd-sprd-B,crvd-sprd-B,S,S,N,,MOV,ASL_2008_01_11,43,1650,1680,,MOV
,Tyler,BISON/BUFFALO,BISON/BUFFALO,5,5,S,S,N,MOV,MOV,ASL_2008_05_12a,27,3740,3767,MOV,MOV
,Naomi,BISON/BUFFALO,BISON/BUFFALO,crvd-5,crvd-5,S,S,N,,MOV,ASL_2008_08_04,28,3987,4012,,MOV
,Brady,BISON/BUFFALO,BISON/BUFFALO,crvd-5,crvd-5,S,S,N,,MOV,ASL_2011_06_08_Brady,21,8305,8331,,MOV
TIGER,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,TIGER,TIGER+,5-C,5-C,5-C,5-C,N,MOV,MOV,ASL_2008_03_28,18,1155,1200,MOV,MOV
LION,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,LION,LION,crvd-5,,crvd-5,,N,,MOV,ASL_2008_02_01,50,2760,2805,,MOV
,Tyler,LION,LION,5-C-L,,5-C-L,,N,MOV,MOV,ASL_2008_06_10,2,2385,2420,MOV,MOV
,Naomi,LION,LION,crvd-5,,crvd-5,,N,,MOV,ASL_2008_08_13_session2,5,2105,2130,,MOV
,Brady,LION,LION,crvd-5,,crvd-5,,N,,MOV,ASL_2011_06_14_Brady,50,1079,1112,,MOV
DEFEND,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,DEFEND,DEFEND+,S,S,S,S,N,,MOV,ASL_2008_01_18,13,2331,2362,,MOV
,Tyler,DEFEND,DEFEND+,S,S,S,S,N,MOV,MOV,ASL_2008_05_12b,13,2465,2490,MOV,MOV
,Brady,DEFEND,DEFEND++,S,S,S,S,N,,MOV,ASL_2011_06_08_Brady,32,11925,11960,,MOV
,Brady,DEFEND,DEFEND+,S,S,S,S,N,,MOV,ASL_2011_07_19_Brady,45,921,944,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Liz,DEFEND,DEFEND_2+,S,S,S,S,N,MOV,MOV,ASL_2008_02_15,50,2265,2300,MOV,MOV
,Naomi,DEFEND,DEFEND_2,S,S,S,S,N,,MOV,ASL_2008_08_06,13,2660,2675,,MOV
BIND/TIE-UP,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,BIND/TIE-UP,BIND/TIE-UP,S,S,S,S,N,MOV,MOV,ASL_2008_01_11,42,1644,1686,MOV,MOV
HUG,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Tyler,HUG,HUG,S,S,S,S,N,,MOV,ASL_2008_05_29b,1,3251,3276,,MOV
,Naomi,HUG,HUG,A,A,A,A,N,MOV,MOV,ASL_2008_08_13,21,6923,6967,MOV,MOV
,Brady,HUG,HUG,S,S,S,S,N,,MOV,ASL_2011_06_14_Brady,37,6232,6266,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Liz,HUG,HUG_2,A,A,A,A,N,MOV,MOV,ASL_2008_02_01,26,321,365,MOV,MOV
PREVENT,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,PREVENT,PREVENT,B,B,B,B,N,,MOV,ASL_2008_02_15,48,265,307,,MOV
,Brady,PREVENT,PREVENT,B-xd,B-xd,B-xd,B-xd,N,MOV,MOV,ASL_2011_07_19_Brady,42,540,556,MOV,MOV
,Brady,PREVENT,PREVENT,B,B,B,B,N,,MOV,ASL_2011_07_22_Brady,50,799,823,,MOV
REQUIRE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,REQUIRE,REQUIRE,1,B-L,1,B-L,N,,MOV,ASL_2008_01_18,14,742,765,,MOV
,Tyler,REQUIRE,REQUIRE,X,B-L,X,B-L,N,MOV,MOV,ASL_2008_05_12b,14,530,555,MOV,MOV
,Naomi,REQUIRE,REQUIRE,L-X,B-L,L-X,B-L,N,,MOV,ASL_2008_08_06,14,432,455,,MOV
DEMOCRAT,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,DEMOCRAT,DEMOCRAT,D,,D,,N,,MOV,ASL_2008_01_18,14,1145,1187,,MOV
,Tyler,DEMOCRAT,DEMOCRAT,D,,D,,N,MOV,MOV,ASL_2008_05_12b,14,885,941,MOV,MOV
,Naomi,DEMOCRAT,DEMOCRAT,D,,D,,N,,MOV,ASL_2008_08_06,14,735,755,,MOV
,Brady,DEMOCRAT,DEMOCRAT,D,,D,,N,,MOV,ASL_2011_06_08_Brady,32,14887,14919,,MOV
REPUBLICAN,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,REPUBLICAN,REPUBLICAN,R,,R,,N,MOV,MOV,ASL_2008_02_29,12,175,225,MOV,MOV
,Brady,REPUBLICAN,REPUBLICAN,R,,R,,N,,MOV,ASL_2011_07_19_Brady,56,3683,3717,,MOV
SHOW,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,SHOW,SHOW+,1,B-L,1,B-L,N,,MOV,ASL_2008_01_18,14,1395,1430,,MOV
,Tyler,SHOW,SHOW++,1,B-L,1,B-L,N,,MOV,ASL_2008_05_12b,14,1135,1171,,MOV
,Tyler,SHOW,SHOW+++,1,B-L,1,B-L,N,MOV,MOV,ASL_2008_06_10,17,2382,2420,MOV,MOV
,Naomi,SHOW,SHOW+,1,5,1,5,N,,MOV,ASL_2008_08_06,14,1115,1140,,MOV
,Brady,SHOW,SHOW++,1,B-L,1,B-L,N,,MOV,ASL_2011_06_08_Brady,32,15127,15156,,MOV
,Brady,SHOW,SHOW,1,B-L,1,B-L,N,,MOV,ASL_2011_07_19_Brady,56,1429,1447,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Brady,SHOW,SHOW-1p,1,B-L,1,B-L,N,MOV,MOV,ASL_2011_06_08_Brady,32,14634,14657,MOV,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Liz,SHOW,SHOW-2p,1,B-L,1,B-L,N,,MOV,ASL_2008_02_29,11,1820,1859,,MOV
,Liz,SHOW,SHOW-2p,1,B-L,1,B-L,N,MOV,MOV,ASL_2008_02_29,30,2112,2152,MOV,MOV
,Brady,SHOW,SHOW-2p,1,B-L,1,B-L,N,,MOV,ASL_2011_07_19_Brady,81,2460,2480,,MOV
,Brady,SHOW,SHOW-2p,1,B-L,1,B-L,N,,MOV,ASL_2011_07_22_Brady,51,500,520,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Liz,SHOW,(M)SHOW,bent-M,B-L,bent-M,B-L,N,MOV,MOV,ASL_2008_02_15,7,3455,3505,MOV,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Liz,SHOW,(R)SHOW,R,B-L,R,B-L,N,MOV,MOV,ASL_2008_02_29,11,2050,2095,MOV,MOV
ns-nat-DENMARK,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,ns-nat-DENMARK,ns-nat-DENMARK,3,,3,,N,,MOV,ASL_2008_01_18,14,1595,1647,,MOV
,Tyler,ns-nat-DENMARK,ns-nat-DENMARK,3,,3,,N,MOV,MOV,ASL_2008_05_12b,14,1427,1470,MOV,MOV
,Naomi,ns-nat-DENMARK,ns-nat-DENMARK,3,,3,,N,,MOV,ASL_2008_08_06,14,1447,1475,,MOV
,Brady,ns-nat-DENMARK,ns-nat-DENMARK,3,,3,,N,,MOV,ASL_2011_06_08_Brady,32,15352,15394,,MOV
DEPEND,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,DEPEND,DEPEND,1,1,1,1,N,,MOV,ASL_2008_01_18,14,2427,2451,,MOV
,Liz,DEPEND,DEPEND+,1,1,1,1,N,,MOV,ASL_2008_01_18,15,255,295,,MOV
,Tyler,DEPEND,DEPEND+,1,1,1,1,N,MOV,MOV,ASL_2008_05_12b,14,3261,3300,MOV,MOV
,Tyler,DEPEND,DEPEND+,1,1,1,1,N,,MOV,ASL_2008_05_12b,14,3506,3535,,MOV
,Naomi,DEPEND,DEPEND+,1,1,1,1,N,,MOV,ASL_2008_08_06,14,3800,3830,,MOV
,Brady,DEPEND,DEPEND+,1,1,1,1,N,,MOV,ASL_2011_06_08_Brady,33,1326,1360,,MOV
DEPOSIT,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,DEPOSIT,DEPOSIT,10,A,A,A,N,,MOV,ASL_2008_01_18,15,457,485,,MOV
,Liz,DEPOSIT,DEPOSIT,10,10,10,10,N,,MOV,ASL_2010_08_10_Liz_additional_lexicon_signs,15,2265,2315,,MOV
,Tyler,DEPOSIT,DEPOSIT,10,10,10,10,N,,MOV,ASL_2008_05_12b,14,3747,3777,,MOV
,Naomi,DEPOSIT,DEPOSIT,10,10,10,10,N,MOV,MOV,ASL_2008_08_06,14,4401,4420,MOV,MOV
,Brady,DEPOSIT,DEPOSIT,10,10,10,10,N,,MOV,ASL_2011_06_08_Brady,33,4160,4176,,MOV
,Lana,DEPOSIT,DEPOSIT,10,10,10,10,N,,MOV,ASL_2006_10_10,7,514,528,,MOV
,Dana,DEPOSIT,DEPOSIT,A,A,A,A,N,,MOV,ASL_2007_05_24,11,542,586,,MOV
DESTROY,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Tyler,DESTROY,DESTROY,5,5,S,S,N,,MOV,ASL_2008_05_12b,15,1540,1585,,MOV
,Naomi,DESTROY,DESTROY,5,5,A,A,N,,MOV,ASL_2008_08_06,15,1910,1955,,MOV
,Brady,DESTROY,DESTROY,5-C,5-C,A,A,N,MOV,MOV,ASL_2011_06_08_Brady,33,7992,8019,MOV,MOV
,Lana,DESTROY,DESTROY,5,5,A,A,N,,MOV,ASL_2006_10_10,7,886,917,,MOV
,Dana,DESTROY,DESTROY,crvd-5,5,A,A,N,,MOV,ASL_2007_05_24,11,937,981,,MOV
ns-DETROIT,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,ns-DETROIT,ns-DETROIT,D,,D,,N,,MOV,ASL_2008_01_18,16,1010,1050,,MOV
,Tyler,ns-DETROIT,ns-DETROIT,D,,D,,N,,MOV,ASL_2008_05_12b,15,4026,4050,,MOV
,Naomi,ns-DETROIT,ns-DETROIT,D,,D,,N,MOV,MOV,ASL_2008_08_06,16,1215,1235,MOV,MOV
,Brady,ns-DETROIT,ns-DETROIT,D,,D,,N,,MOV,ASL_2011_06_08_Brady,33,9889,9914,,MOV
,Lana,ns-DETROIT,ns-DETROIT,D,,D,,N,,MOV,ASL_2006_10_10,6,2624,2648,,MOV
,Dana,ns-DETROIT,ns-DETROIT,D,,D,,N,,MOV,ASL_2007_05_24,10,2968,3016,,MOV
DEVELOP,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,DEVELOP,DEVELOP,B-xd,B-L,B-xd,B-L,N,,MOV,ASL_2008_01_18,16,1450,1486,,MOV
,Liz,DEVELOP,DEVELOP,B,B-L,B,B-L,N,,MOV,ASL_2008_02_29,30,1338,1380,,MOV
,Tyler,DEVELOP,DEVELOP,B-xd,B-L,B-xd,B-L,N,,MOV,ASL_2008_05_12b,15,4510,4535,,MOV
,Naomi,DEVELOP,DEVELOP,B,B-L,B,B-L,N,MOV,MOV,ASL_2008_08_06,16,1637,1655,MOV,MOV
,Naomi,DEVELOP,DEVELOP,B,B-L,B,B-L,N,,MOV,ASL_2008_08_06,16,1890,1910,,MOV
,Brady,DEVELOP,DEVELOP,B-xd,B-L,B-xd,B-L,N,,MOV,ASL_2011_06_08_Brady,33,10147,10168,,MOV
,Brady,DEVELOP,DEVELOP,B-xd,B-L,B-xd,B-L,N,,MOV,ASL_2011_06_08_Brady,33,10724,10744,,MOV
,Brady,DEVELOP,DEVELOP,B-xd,B-L,B-xd,B-L,N,,MOV,ASL_2011_07_19_Brady,81,1637,1660,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Liz,DEVELOP,(D)DEVELOP,D,B-L,D,B-L,N,MOV,MOV,ASL_2008_01_18,16,1240,1260,MOV,MOV
,Tyler,DEVELOP,(D)DEVELOP,D,B-L,D,B-L,N,,MOV,ASL_2008_05_12b,15,4280,4320,,MOV
DIAL-ROTARY,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Naomi,DIAL-ROTARY,DIAL-ROTARY,X,,X,,N,MOV,MOV,ASL_2008_08_06,16,3855,3875,MOV,MOV
DIALOG,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,DIALOG,DIALOG++,1,1,1,1,N,,MOV,ASL_2008_01_18,16,3336,3395,,MOV
,Tyler,DIALOG,DIALOG++,1,1,1,1,N,MOV,MOV,ASL_2008_05_12b,15,6511,6550,MOV,MOV
,Naomi,DIALOG,DIALOG++,D,D,D,D,N,,MOV,ASL_2008_08_06,16,4280,4335,,MOV
,Brady,DIALOG,DIALOG++,1,1,1,1,N,,MOV,ASL_2011_06_08_Brady,34,554,584,,MOV
INTERVIEW,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,INTERVIEW,INTERVIEW++,I,I,I,I,N,,MOV,ASL_2008_02_01,34,1865,1925,,MOV
,Tyler,INTERVIEW,INTERVIEW++,I,I,I,I,N,MOV,MOV,ASL_2008_05_29b,8,1255,1292,MOV,MOV
,Naomi,INTERVIEW,INTERVIEW+,I,I,I,I,N,,MOV,ASL_2008_08_13,28,1615,1650,,MOV
,Brady,INTERVIEW,INTERVIEW+,I,I,I,I,N,,MOV,ASL_2011_06_14_Brady,41,2677,2710,,MOV
DIE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,DIE,DIE,B-L,B-L,B-L,B-L,N,,MOV,ASL_2008_01_18,17,720,755,,MOV
,Tyler,DIE,DIE,B-L,B-L,B-L,B-L,N,MOV,MOV,ASL_2008_05_12b,16,580,615,MOV,MOV
,Naomi,DIE,DIE,B-L,B-L,B-L,B-L,N,,MOV,ASL_2008_08_06,17,510,542,,MOV
,Brady,DIE,DIE,B-L,B-L,B-L,B-L,N,,MOV,ASL_2011_06_08_Brady,34,2428,2446,,MOV
DIM,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,DIM,DIM,5,5,5-C,5-C,N,,MOV,ASL_2008_01_18,17,1775,1820,,MOV
,Tyler,DIM,DIM,5,5,crvd-sprd-B,crvd-sprd-B,N,MOV,MOV,ASL_2008_05_12b,16,1950,1980,MOV,MOV
,Naomi,DIM,DIM,5,5,crvd-sprd-B,crvd-sprd-B,N,,MOV,ASL_2008_08_06,17,2480,2516,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
