consultant,gloss,gloss_variant,session,scene,start,end
Brady,WEEKEND,WEEKEND,ASL_2011_06_08_Brady,29,10912,10935
Brady,WEEKEND,WEEKEND,ASL_2011_06_14_Brady,11,9937,9961
Brady,WEEKEND,WEEKEND,ASL_2011_07_19_Brady,58,1220,1240
Brady,WEEKEND,WEEKEND,ASL_2011_07_22_Brady,26,2471,2500
Naomi,WEEKEND,WEEKEND_2,ASL_2008_08_06,2,3045,3070
Naomi,WEEKEND,WEEKEND_2,ASL_2008_08_06,31,1680,1702
Liz,RESULT,RESULT,ASL_2008_02_29,13,1580,1625
Brady,RESULT,RESULT,ASL_2011_07_19_Brady,58,1671,1690
Liz,EDGE/CLIFF,EDGE/CLIFF,ASL_2008_01_18,28,2340,2367
Naomi,EDGE/CLIFF,EDGE/CLIFF,ASL_2008_08_06,28,2750,2785
Brady,EDGE/CLIFF,EDGE_2,ASL_2011_06_14_Brady,10,2523,2555
Tyler,EDGE/CLIFF,EDGE_3++,ASL_2008_05_29a,8,2605,2670
Tyler,END,END,ASL_2008_05_29a,11,1240,1270
Tyler,CONCLUSION,CONCLUSION,ASL_2008_05_12b,2,1550,1585
Liz,CONDUCT-MUSIC,CONDUCT-MUSIC+,ASL_2008_01_18,2,2575,2657
Naomi,CONDUCT-MUSIC,CONDUCT-MUSIC+,ASL_2008_08_06,2,3555,3650
Brady,CONDUCT-MUSIC,CONDUCT-MUSIC+,ASL_2011_06_08_Brady,29,11251,11336
Liz,CONDUCTOR,CONDUCTOR,ASL_2008_01_18,2,2940,2977
Naomi,CONDUCTOR,CONDUCTOR,ASL_2008_08_06,2,4420,4445
Liz,CONFRONT,CONFRONT,ASL_2008_01_18,3,692,720
Tyler,CONFRONT,CONFRONT,ASL_2008_05_12b,3,422,455
Brady,CONFRONT,CONFRONT,ASL_2011_06_08_Brady,29,14008,14037
Naomi,CONFRONT,(A)CONFRONT,ASL_2008_08_06,3,330,345
Liz,CONGRATULATIONS,CONGRATULATIONS,ASL_2008_01_18,3,1517,1545
Tyler,CONGRATULATIONS,CONGRATULATIONS,ASL_2008_05_12b,3,1110,1135
Naomi,CONGRATULATIONS,CONGRATULATIONS,ASL_2008_08_06,3,1070,1095
Brady,CONGRATULATIONS,CONGRATULATIONS,ASL_2011_06_08_Brady,29,15164,15205
Liz,BEAT,BEAT,ASL_2008_01_18,3,2015,2040
Naomi,BEAT,BEAT,ASL_2008_08_06,3,1530,1545
Liz,BEAT_2,BEAT_2,ASL_2010_08_10_Liz_additional_lexicon_signs,17,6005,6052
Tyler,BEAT_2,BEAT_2,ASL_2008_05_12b,3,1560,1590
Brady,BEAT_2,BEAT_2,ASL_2011_06_08_Brady,17,10673,10712
Brady,BEAT_2,BEAT_2,ASL_2011_06_08_Brady,29,16113,16140
Liz,CONTINUE,CONTINUE+,ASL_2008_01_18,3,2880,2940
Liz,CONTINUE,CONTINUE+,ASL_2008_01_18,4,2250,2301
Liz,CONTINUE,CONTINUE,ASL_2008_02_29,10,2056,2130
Tyler,CONTINUE,CONTINUE++,ASL_2008_05_12b,3,2345,2410
Tyler,CONTINUE,CONTINUE++,ASL_2008_05_12b,4,4336,4376
Naomi,CONTINUE,CONTINUE++,ASL_2008_08_06,3,2280,2340
Naomi,CONTINUE,CONTINUE+,ASL_2008_08_06,4,1800,1832
Brady,CONTINUE,CONTINUE+++,ASL_2011_06_08_Brady,30,325,365
Liz,CONTACT,CONTACT+,ASL_2008_01_18,4,1747,1785
Tyler,CONTACT,CONTACT++,ASL_2008_05_12b,4,3870,3907
Naomi,CONTACT,CONTACT+,ASL_2008_08_06,4,1360,1385
Brady,CONTACT,CONTACT++,ASL_2011_06_08_Brady,30,2109,2151
Liz,CONTACT-LENSES,CONTACT-LENSES,ASL_2008_01_18,4,1965,1996
Tyler,CONTACT-LENSES,CONTACT-LENSES,ASL_2008_05_12b,4,4091,4120
Naomi,CONTACT-LENSES,CONTACT-LENSES,ASL_2008_08_06,4,1557,1585
Brady,CONTACT-LENSES,CONTACT-LENSES,ASL_2011_06_08_Brady,30,2402,2428
Liz,INTERNET,INTERNET,ASL_2008_02_15,17,3710,3755
Liz,CONVINCE,CONVINCE,ASL_2008_01_18,4,2455,2480
Brady,CONVINCE,CONVINCE,ASL_2011_06_08_Brady,30,3382,3397
Liz,CONVINCE,CONVINCE_2,ASL_2008_02_15,40,1482,1535
Tyler,CONVINCE,CONVINCE_2,ASL_2008_05_12b,4,4570,4600
Naomi,CONVINCE,CONVINCE_2,ASL_2008_08_06,4,2315,2346
Brady,CONVINCE,CONVINCE_2,ASL_2011_07_19_Brady,34,1215,1234
Brady,CONVINCE,CONVINCE_2,ASL_2011_07_22_Brady,49,1905,1932
Liz,CHAT,CHAT++,ASL_2008_01_11,71,716,775
Liz,CHAT,CHAT+,ASL_2008_01_18,1,2451,2505
Tyler,CHAT,CHAT++,ASL_2008_05_12a,44,1022,1090
Tyler,CHAT,CHAT++,ASL_2008_05_12b,1,2860,2905
Naomi,CHAT,CHAT+,ASL_2008_08_04,45,2125,2140
Naomi,CHAT,CHAT++,ASL_2008_08_06,1,3137,3175
Brady,CHAT,CHAT++,ASL_2011_06_08_Brady,26,21964,22004
Brady,CHAT,CHAT++,ASL_2011_07_22_Brady,40,2268,2310
Lana,CHAT,CHAT++,ASL_2006_10_10,4,2815,2857
Dana,CHAT,CHAT++,ASL_2007_05_24,8,2869,2923
Liz,ENCOURAGE,ENCOURAGE+,ASL_2008_01_18,31,476,531
Liz,ENCOURAGE,ENCOURAGE+,ASL_2008_03_28,29,865,940
Tyler,ENCOURAGE,ENCOURAGE++,ASL_2008_05_29a,11,303,354
Naomi,ENCOURAGE,ENCOURAGE+,ASL_2008_08_06,31,142,191
Brady,ENCOURAGE,ENCOURAGE+,ASL_2011_06_14_Brady,11,8369,8404
Brady,ENCOURAGE,ENCOURAGE+,ASL_2011_07_22_Brady,17,2000,2052
Liz,COOKIE,COOKIE,ASL_2008_01_18,5,322,376
Tyler,COOKIE,COOKIE+,ASL_2008_05_12b,4,4985,5030
Naomi,COOKIE,COOKIE,ASL_2008_08_06,4,2960,2985
Brady,COOKIE,COOKIE,ASL_2011_06_08_Brady,30,4736,4765
Liz,COPY,COPY+,ASL_2008_01_18,5,781,820
Liz,COPY,COPY+,ASL_2010_08_10_Liz_additional_lexicon_signs,12,950,985
Tyler,COPY,COPY+,ASL_2008_05_12b,5,390,422
Naomi,COPY,COPY,ASL_2008_08_06,5,1601,1645
Brady,COPY,COPY+,ASL_2011_06_08_Brady,30,5681,5717
Brady,COPY,COPY+,ASL_2011_06_08_Brady,30,5963,5996
Lana,COPY,COPY,ASL_2006_10_10,6,910,922
Dana,COPY,COPY++,ASL_2007_05_24,10,1086,1150
Liz,COPY,COPY_2,ASL_2008_01_18,5,996,1027
Tyler,COPY,COPY_2+,ASL_2008_05_12b,5,575,615
Naomi,COPY,COPY_2,ASL_2008_08_06,5,1785,1807
Brady,COPY,COPY_2,ASL_2011_06_08_Brady,30,6234,6260
Tyler,CORN,CORN,ASL_2008_05_12b,5,1498,1526
Naomi,CORN,CORN,ASL_2008_08_06,5,2341,2370
Brady,CORN,CORN,ASL_2011_06_08_Brady,30,6793,6824
Liz,CORN,CORN_2,ASL_2008_01_18,5,1475,1535
Liz,CORN_3,CORN_3,ASL_2008_01_18,5,1927,1982
Naomi,CORN_3,CORN_3,ASL_2008_08_06,5,2580,2605
Brady,CORN_4,CORN_4,ASL_2011_06_08_Brady,30,7055,7107
Tyler,CORN_4,(L-X)CORN_4,ASL_2008_05_12b,5,1797,1865
Liz,CONFLICT/INTERSECTION,CONFLICT/INTERSECTION,ASL_2008_01_18,3,407,441
Liz,CONFLICT/INTERSECTION,CONFLICT/INTERSECTION,ASL_2010_08_10_Liz_additional_lexicon_signs,18,137,197
Tyler,CONFLICT/INTERSECTION,CONFLICT/INTERSECTION,ASL_2008_05_12b,2,3425,3460
Naomi,CONFLICT/INTERSECTION,CONFLICT/INTERSECTION,ASL_2008_08_06,2,4790,4817
Brady,CONFLICT/INTERSECTION,CONFLICT/INTERSECTION,ASL_2011_06_08_Brady,29,13075,13104
Brady,CONFLICT/INTERSECTION,CONFLICT/INTERSECTION,ASL_2011_06_14_Brady,6,5641,5660
Brady,CONFLICT/INTERSECTION,CONFLICT/INTERSECTION,ASL_2011_06_14_Brady,41,2445,2471
Lana,CONFLICT/INTERSECTION,CONFLICT/INTERSECTION,ASL_2006_10_10,6,470,482
Dana,CONFLICT/INTERSECTION,CONFLICT/INTERSECTION,ASL_2007_05_24,10,699,745
Liz,CORNER,CORNER,ASL_2008_01_18,5,2600,2650
Tyler,CORNER,CORNER,ASL_2008_05_12b,5,2055,2090
Naomi,CORNER,CORNER,ASL_2008_08_06,5,2837,2862
Brady,CORNER,CORNER,ASL_2011_06_08_Brady,30,7344,7380
Liz,CORNER,(1)CORNER,ASL_2008_01_18,5,2980,3032
Naomi,CORNER,(1)CORNER,ASL_2008_08_06,5,4125,4156
Brady,CORNER,(1)CORNER,ASL_2011_06_08_Brady,30,7582,7630
Liz,CANCEL/CRITICIZE,CANCEL/CRITICIZE,ASL_2008_01_18,5,3200,3255
Liz,CANCEL/CRITICIZE,CANCEL/CRITICIZE,ASL_2008_01_18,9,545,587
Liz,CANCEL/CRITICIZE,CANCEL/CRITICIZE,ASL_2010_08_10_Liz_additional_lexicon_signs,6,1688,1737
Liz,CANCEL/CRITICIZE,CANCEL/CRITICIZE,ASL_2010_08_10_Liz_additional_lexicon_signs,25,1925,1995
Tyler,CANCEL/CRITICIZE,CANCEL/CRITICIZE+,ASL_2008_05_12b,5,2727,2780
Tyler,CANCEL/CRITICIZE,CANCEL/CRITICIZE,ASL_2008_05_12b,9,225,270
Naomi,CANCEL/CRITICIZE,CANCEL/CRITICIZE,ASL_2008_08_06,5,4435,4470
Naomi,CANCEL/CRITICIZE,CANCEL/CRITICIZE,ASL_2008_08_06,9,480,515
Brady,CANCEL/CRITICIZE,CANCEL/CRITICIZE,ASL_2011_06_08_Brady,12,1147,1177
Brady,CANCEL/CRITICIZE,CANCEL/CRITICIZE,ASL_2011_06_08_Brady,25,6073,6110
Brady,CANCEL/CRITICIZE,CANCEL/CRITICIZE,ASL_2011_06_08_Brady,30,7908,7937
Brady,CANCEL/CRITICIZE,CANCEL/CRITICIZE,ASL_2011_06_08_Brady,31,7629,7661
Liz,DISCRIMINATE,DISCRIMINATE,ASL_2008_01_18,19,1627,1667
Tyler,DISCRIMINATE,DISCRIMINATE,ASL_2008_05_12b,18,1542,1590
Naomi,DISCRIMINATE,DISCRIMINATE,ASL_2008_08_06,19,1832,1875
Brady,DISCRIMINATE,DISCRIMINATE,ASL_2011_06_08_Brady,35,4811,4852
Liz,CORRESPOND,CORRESPOND++,ASL_2008_01_18,6,302,360
Naomi,CORRESPOND,CORRESPOND++,ASL_2008_08_06,5,4801,4835
Brady,CORRESPOND,CORRESPOND++,ASL_2011_06_08_Brady,30,8136,8170
Naomi,ns-COSTA-RICA,ns-COSTA-RICA,ASL_2008_08_06,6,370,390
Brady,ns-COSTA-RICA,ns-COSTA-RICA,ASL_2011_06_08_Brady,30,8367,8398
Liz,COUGH,COUGH,ASL_2008_01_18,6,1935,1975
Tyler,COUGH,COUGH,ASL_2008_05_12b,6,995,1040
Naomi,COUGH,COUGH,ASL_2008_08_06,6,1155,1190
Brady,COUGH,COUGH,ASL_2011_06_08_Brady,30,9380,9409
Lana,COUGH,COUGH,ASL_2006_10_10,6,342,372
Dana,COUGH,COUGH+,ASL_2007_05_24,10,576,638
Liz,COUGH_2,COUGH_2+,ASL_2008_01_18,6,1696,1745
Naomi,COUGH_2,COUGH_2+,ASL_2008_08_06,6,940,985
Liz,COMPLAIN/OBJECT,COMPLAIN/OBJECT++,ASL_2008_01_18,2,547,600
Liz,COMPLAIN/OBJECT,COMPLAIN/OBJECT,ASL_2008_01_18,21,442,465
Tyler,COMPLAIN/OBJECT,COMPLAIN/OBJECT+++,ASL_2008_05_12b,2,310,365
Naomi,COMPLAIN/OBJECT,COMPLAIN/OBJECT+,ASL_2008_08_06,2,262,295
Naomi,COMPLAIN/OBJECT,COMPLAIN/OBJECT,ASL_2008_08_06,21,796,831
Brady,COMPLAIN/OBJECT,COMPLAIN/OBJECT+,ASL_2011_06_08_Brady,29,5387,5428
Brady,COMPLAIN/OBJECT,COMPLAIN/OBJECT++,ASL_2011_06_08_Brady,36,7270,7297
Liz,COUNT,COUNT+,ASL_2008_01_11,6,724,764
Tyler,COUNT,COUNT+++,ASL_2008_05_12a,6,3305,3381
Tyler,COUNT,COUNT++,ASL_2008_05_12b,6,1787,1835
Naomi,COUNT,COUNT+,ASL_2008_08_04,4,4124,4157
Naomi,COUNT,COUNT+,ASL_2008_08_06,6,1421,1465
Liz,COUNT,COUNT_2,ASL_2008_01_18,6,2215,2247
Liz,COUNTRY,COUNTRY+,ASL_2008_01_18,6,2720,2780
Liz,COUNTRY,COUNTRY++,ASL_2008_01_18,47,1426,1492
Tyler,COUNTRY,COUNTRY+,ASL_2008_05_12b,6,2066,2115
Naomi,COUNTRY,COUNTRY+,ASL_2008_08_06,6,1915,1950
Naomi,COUNTRY,COUNTRY+,ASL_2008_08_06,47,1441,1480
Brady,COUNTRY,COUNTRY+,ASL_2011_06_08_Brady,30,10077,10126
Brady,COUNTRY,COUNTRY+,ASL_2011_06_14_Brady,21,6286,6325
Liz,COUNTRY,(Y)COUNTRY+,ASL_2008_01_18,6,2467,2530
Naomi,COUNTRY,(Y)COUNTRY+,ASL_2008_08_06,6,1685,1720
Liz,FOREIGN,FOREIGN+,ASL_2008_01_18,47,1670,1730
Tyler,FOREIGN,FOREIGN+,ASL_2008_05_29a,27,1302,1365
Naomi,FOREIGN,FOREIGN+,ASL_2008_08_06,47,1682,1737
Liz,EITHER,EITHER+,ASL_2008_01_18,6,2947,2980
Liz,EITHER,EITHER+++,ASL_2008_01_18,29,2105,2160
Liz,EITHER,EITHER+++,ASL_2008_02_15,16,4035,4105
Tyler,EITHER,EITHER++,ASL_2008_05_12b,6,2655,2696
Tyler,EITHER,EITHER++,ASL_2008_05_29a,9,1586,1622
Naomi,EITHER,EITHER++,ASL_2008_08_06,6,2155,2181
Naomi,EITHER,EITHER+,ASL_2008_08_06,29,1405,1425
Brady,EITHER,EITHER++,ASL_2011_06_08_Brady,30,10581,10621
Brady,EITHER,EITHER++,ASL_2011_06_14_Brady,10,8506,8541
Liz,COUSIN,COUSIN,ASL_2008_01_18,7,2020,2052
Naomi,COUSIN,COUSIN,ASL_2008_08_06,7,1435,1451
Brady,COUSIN,COUSIN,ASL_2011_06_08_Brady,31,248,266
Brady,COUSIN,COUSIN,ASL_2011_06_08_Brady,31,1058,1076
Dana,COUSIN,COUSIN_2+,ASL_2007_05_24,10,836,882
Liz,MALE-COUSIN,MALE-COUSIN,ASL_2008_01_18,7,1535,1550
Tyler,MALE-COUSIN,MALE-COUSIN,ASL_2008_05_12b,7,542,590
Naomi,MALE-COUSIN,MALE-COUSIN,ASL_2008_08_06,7,866,885
Lana,MALE-COUSIN,MALE-COUSIN,ASL_2006_10_10,6,626,654
Liz,FEMALE-COUSIN,FEMALE-COUSIN,ASL_2008_01_18,7,1771,1813
Tyler,FEMALE-COUSIN,FEMALE-COUSIN+,ASL_2008_05_12b,7,746,790
Tyler,FEMALE-COUSIN,FEMALE-COUSIN+,ASL_2008_05_12b,7,1275,1305
Naomi,FEMALE-COUSIN,FEMALE-COUSIN,ASL_2008_08_06,7,1080,1096
Brady,FEMALE-COUSIN,FEMALE-COUSIN,ASL_2011_06_08_Brady,30,12111,12140
Brady,FEMALE-COUSIN,FEMALE-COUSIN,ASL_2011_06_08_Brady,30,12392,12424
Liz,COVER,COVER,ASL_2008_01_18,7,2265,2295
Liz,COVER,COVER,ASL_2008_03_28,45,2568,2612
Tyler,COVER,COVER,ASL_2008_05_12b,7,2216,2255
Naomi,COVER,COVER,ASL_2008_08_06,7,1965,1995
Brady,COVER,COVER,ASL_2011_06_08_Brady,31,522,539
Liz,CRACKER/PASSOVER,CRACKER/PASSOVER+,ASL_2008_01_18,7,2982,3015
Tyler,CRACKER/PASSOVER,CRACKER/PASSOVER+,ASL_2008_05_12b,7,2852,2887
Naomi,CRACKER/PASSOVER,CRACKER/PASSOVER,ASL_2008_08_06,7,3825,3850
Brady,CRACKER/PASSOVER,CRACKER/PASSOVER++,ASL_2011_06_08_Brady,31,2819,2850
Liz,CRACK,CRACK,ASL_2008_01_18,7,3237,3275
Tyler,CRACK,CRACK,ASL_2008_05_12b,7,3072,3110
Naomi,CRACK,CRACK,ASL_2008_08_06,7,4155,4182
Brady,CRACK,CRACK,ASL_2011_06_08_Brady,31,2602,2640
Liz,CREDIT-CARD,CREDIT-CARD,ASL_2008_01_18,8,3290,3330
Tyler,CREDIT-CARD,CREDIT-CARD,ASL_2008_05_12b,8,4065,4092
Naomi,CREDIT-CARD,CREDIT-CARD,ASL_2008_08_06,8,4600,4625
Brady,CREDIT-CARD,CREDIT-CARD,ASL_2011_06_08_Brady,31,6496,6527
Liz,CRIPPLE,CRIPPLE+,ASL_2008_01_18,9,287,342
Tyler,CRIPPLE,CRIPPLE++,ASL_2008_05_12b,8,4685,4735
Naomi,CRIPPLE,CRIPPLE++,ASL_2008_08_06,8,5475,5547
Brady,CRIPPLE,CRIPPLE+,ASL_2011_06_08_Brady,31,7304,7348
Liz,CROSS,CROSS,ASL_2008_01_18,9,790,856
Naomi,CROSS,CROSS,ASL_2008_08_06,9,870,925
Brady,CROSS,CROSS,ASL_2011_06_08_Brady,31,7904,7936
Tyler,CROWDED,CROWDED,ASL_2008_05_12b,9,737,785
Brady,CROWDED,CROWDED,ASL_2011_06_08_Brady,31,8737,8771
Liz,"PCL:5-C-L""crowd""","PCL:5-C-L""crowd""",ASL_2008_02_01,24,1702,1750
Naomi,"PCL:5-C-L""crowd""","PCL:5-C-L""crowd""",ASL_2008_08_13,20,6465,6491
Liz,CROWN,CROWN,ASL_2008_01_18,9,1271,1306
Naomi,CROWN,CROWN,ASL_2008_08_06,9,1890,1905
Brady,CROWN,CROWN,ASL_2011_06_08_Brady,31,9540,9556
Brady,CROWN,CROWN,ASL_2011_06_14_Brady,3,10731,10747
Liz,HELMET,HELMET,ASL_2008_01_18,9,1686,1729
Liz,HELMET,HELMET,ASL_2008_02_01,21,1386,1435
Tyler,HELMET,HELMET,ASL_2008_05_29a,49,911,940
Naomi,HELMET,HELMET,ASL_2008_08_06,9,2245,2261
Naomi,HELMET,HELMET,ASL_2008_08_13,17,1488,1513
Brady,HELMET,HELMET,ASL_2011_06_14_Brady,33,4462,4496
Brady,HELMET,HELMET,ASL_2011_07_22_Brady,41,1333,1365
Tyler,"CROWN+DCL:4""coronet""","CROWN+DCL:4""coronet""",ASL_2008_05_12b,9,1799,1873
Liz,CRUSH,CRUSH,ASL_2008_01_18,9,1030,1065
Liz,CRUSH,CRUSH,ASL_2008_01_18,9,1932,1980
Tyler,CRUSH,CRUSH,ASL_2008_05_12b,9,2526,2572
Naomi,CRUSH,CRUSH,ASL_2008_08_06,9,2685,2715
Brady,CRUSH,CRUSH,ASL_2011_06_08_Brady,31,9864,9904
Liz,GRIEF,GRIEF,ASL_2008_02_01,12,1132,1187
Tyler,GRIEF,GRIEF,ASL_2008_05_29a,42,1481,1516
Naomi,GRIEF,GRIEF,ASL_2008_08_13,10,2155,2212
Liz,TWIST,TWIST,ASL_2008_03_28,26,1035,1070
Liz,TWIST,TWIST,ASL_2008_03_28,26,2380,2426
Brady,TWIST,TWIST,ASL_2011_07_22_Brady,14,1559,1579
Liz,CRY,CRY++,ASL_2008_01_18,9,2716,2786
Brady,CRY,CRY++,ASL_2011_06_08_Brady,31,10433,10480
Liz,CRY,(2h)alt.CRY+,ASL_2008_01_18,9,2446,2505
Naomi,CRY,(2h)alt.CRY,ASL_2008_08_06,9,3746,3797
Tyler,CRY,(L)CRY++,ASL_2008_05_12b,9,3055,3097
Naomi,CRY,(L)CRY+,ASL_2008_08_06,9,4015,4086
Liz,ns-nat-CUBA,ns-nat-CUBA,ASL_2008_01_18,10,392,415
Naomi,ns-nat-CUBA,ns-nat-CUBA,ASL_2008_08_06,9,4285,4310
Brady,ns-nat-CUBA,ns-nat-CUBA,ASL_2011_06_08_Brady,31,10697,10725
Liz,CULTURE,CULTURE,ASL_2008_01_18,10,620,650
Tyler,CULTURE,CULTURE,ASL_2008_05_12b,10,387,417
Naomi,CULTURE,CULTURE,ASL_2008_08_06,10,225,245
Brady,CULTURE,CULTURE,ASL_2011_06_08_Brady,31,12021,12042
Liz,SITUATION,SITUATION,ASL_2008_02_29,33,939,987
Brady,SITUATION,SITUATION,ASL_2011_07_19_Brady,84,2490,2508
Liz,ENVIRONMENT,ENVIRONMENT,ASL_2008_01_18,32,1781,1820
Tyler,ENVIRONMENT,ENVIRONMENT,ASL_2008_05_29a,12,1761,1790
Naomi,ENVIRONMENT,ENVIRONMENT,ASL_2008_08_06,32,1310,1337
Brady,ENVIRONMENT,ENVIRONMENT,ASL_2011_06_14_Brady,12,6021,6041
Liz,MELT/SOLVE,MELT/SOLVE,ASL_2008_01_18,10,1115,1146
Naomi,MELT/SOLVE,MELT/SOLVE,ASL_2008_08_06,10,1072,1096
Brady,MELT/SOLVE,MELT/SOLVE,ASL_2011_06_08_Brady,31,12865,12896
Liz,SMOOTH,SMOOTH,ASL_2008_02_29,36,1310,1351
Liz,SMOOTH,SMOOTH,ASL_2008_02_29,36,1801,1835
Liz,SMOOTH,SMOOTH,ASL_2008_02_29,40,2405,2430
Brady,SMOOTH,SMOOTH,ASL_2011_07_19_Brady,88,1689,1706
Brady,SMOOTH,SMOOTH,ASL_2011_07_19_Brady,88,2186,2205
Dana,SMOOTH,SMOOTH,ASL_2007_05_24,27,2072,2127
Liz,GROUND,GROUND+,ASL_2008_01_18,18,2235,2302
Liz,GROUND,GROUND++,ASL_2008_02_01,58,3655,3695
Tyler,GROUND,GROUND++,ASL_2008_05_29b,16,1356,1405
Tyler,GROUND,GROUND+++,ASL_2008_06_10,10,4895,4938
Naomi,GROUND,GROUND++,ASL_2008_08_06,18,2152,2187
Naomi,GROUND,GROUND+,ASL_2008_08_13_session2,13,2645,2690
Brady,GROUND,GROUND+,ASL_2011_06_08_Brady,35,2700,2726
Brady,GROUND,GROUND+,ASL_2011_06_14_Brady,54,6912,6940
Brady,GROUND,GROUND,ASL_2011_07_22_Brady,46,1453,1466
Brady,GROUND,GROUND++,ASL_2011_07_22_Brady,47,475,516
Liz,CURIOUS,CURIOUS,ASL_2008_01_18,10,1296,1325
Tyler,CURIOUS,CURIOUS,ASL_2008_05_12b,10,1105,1155
Naomi,CURIOUS,CURIOUS,ASL_2008_08_06,10,1280,1312
Brady,CURIOUS,CURIOUS,ASL_2011_06_08_Brady,31,13080,13130
Liz,STUCK,STUCK,ASL_2008_02_29,50,1468,1518
Brady,STUCK,STUCK,ASL_2011_07_19_Brady,102,162,180
Liz,CURLY,CURLY,ASL_2008_01_18,10,1540,1610
Tyler,CURLY,CURLY,ASL_2008_05_12b,10,1335,1385
Brady,CURLY,CURLY,ASL_2011_06_08_Brady,31,13396,13441
Naomi,CURLY,CURLY_2,ASL_2008_08_06,10,1546,1571
Naomi,CURRICULUM,CURRICULUM,ASL_2008_08_06,10,1837,1867
Liz,CURRICULUM,CURRICULUM_2,ASL_2008_01_18,10,2017,2065
Tyler,CURRICULUM,CURRICULUM_3,ASL_2008_05_12b,10,1675,1716
Liz,CURTAIN,CURTAIN,ASL_2008_01_18,10,3000,3035
Tyler,CURTAIN,CURTAIN,ASL_2008_05_12b,10,2310,2340
Brady,CURTAIN,CURTAIN,ASL_2011_06_08_Brady,32,120,147
Naomi,CURTAIN,CURTAIN_2,ASL_2008_08_06,10,3425,3462
Liz,CURVE,CURVE,ASL_2008_01_18,10,3535,3585
Tyler,CURVE,CURVE,ASL_2008_05_12b,10,2540,2570
Naomi,CURVE,CURVE,ASL_2008_08_06,10,3820,3840
Brady,CURVE,CURVE,ASL_2011_06_08_Brady,32,654,674
Liz,CUSHION,CUSHION+,ASL_2008_01_18,11,346,390
Tyler,CUSHION,CUSHION++,ASL_2008_05_12b,10,3286,3335
Naomi,CUSHION,CUSHION+,ASL_2008_08_06,10,4115,4150
Brady,CUSHION,CUSHION+,ASL_2011_06_08_Brady,32,1034,1056
Liz,CUT,CUT,ASL_2008_01_18,11,855,865
Tyler,CUT,CUT,ASL_2008_05_12b,11,842,866
Naomi,CUT,CUT,ASL_2008_08_06,11,991,1025
Brady,CUT,CUT,ASL_2011_06_08_Brady,32,1816,1832
Liz,CYCLE,CYCLE,ASL_2008_01_18,11,1296,1345
Tyler,CYCLE,CYCLE,ASL_2008_05_12b,11,1305,1341
Brady,CYCLE,CYCLE,ASL_2011_06_08_Brady,32,2309,2348
Naomi,CYCLE,CYCLE_2,ASL_2008_08_06,11,1580,1625
Liz,D,D,ASL_2008_01_18,11,1620,1625
Tyler,D,D,ASL_2008_05_12b,11,1510,1556
Naomi,D,D,ASL_2008_08_06,11,1875,1955
Brady,D,D,ASL_2011_06_08_Brady,32,2583,2609
Liz,ns-DALLAS,ns-DALLAS,ASL_2008_01_18,11,2085,2116
Naomi,ns-DALLAS,ns-DALLAS,ASL_2008_08_06,11,2325,2350
Brady,ns-DALLAS,ns-DALLAS,ASL_2011_06_08_Brady,32,2847,2871
Tyler,ns-fs-DALLAS,ns-fs-DALLAS,ASL_2008_05_12b,11,1870,1926
Brady,ns-fs-DALLAS,ns-fs-DALLAS,ASL_2011_06_08_Brady,32,3108,3148
Liz,DANCE,DANCE+,ASL_2008_01_18,11,2275,2325
Tyler,DANCE,DANCE++,ASL_2008_05_12b,11,2405,2460
Naomi,DANCE,DANCE,ASL_2008_08_06,11,2665,2727
Brady,DANCE,DANCE+,ASL_2011_06_08_Brady,32,3456,3508
Lana,DANCE,DANCE+,ASL_2006_10_10,6,2230,2268
Dana,DANCE,DANCE,ASL_2007_05_24,10,2550,2617
Liz,EXPERT,EXPERT,ASL_2008_01_18,11,2756,2781
Liz,EXPERT,EXPERT,ASL_2008_01_18,36,1899,1934
Liz,EXPERT,EXPERT,ASL_2008_02_01,8,2210,2225
Tyler,EXPERT,EXPERT,ASL_2008_05_29a,16,2020,2036
Tyler,EXPERT,EXPERT,ASL_2008_05_29a,39,1862,1867
Naomi,EXPERT,EXPERT,ASL_2008_08_06,11,3261,3281
Naomi,EXPERT,EXPERT,ASL_2008_08_06,36,2293,2321
Naomi,EXPERT,EXPERT,ASL_2008_08_13,7,3056,3066
Brady,EXPERT,EXPERT,ASL_2011_06_08_Brady,32,3913,3933
Brady,EXPERT,EXPERT,ASL_2011_06_14_Brady,14,6428,6449
Brady,EXPERT,EXPERT,ASL_2011_06_14_Brady,27,3520,3539
Liz,SOON,SOON,ASL_2008_02_29,38,2318,2354
Tyler,SOON,SOON,ASL_2008_05_12b,11,2869,2884
Brady,SOON,SOON+++,ASL_2011_07_19_Brady,91,634,672
Liz,DARK,DARK,ASL_2008_01_18,12,552,590
Liz,DARK,DARK,ASL_2008_02_29,27,2840,2905
Tyler,DARK,DARK,ASL_2008_05_12b,12,285,337
Naomi,DARK,DARK,ASL_2008_08_06,12,180,210
Brady,DARK,DARK,ASL_2011_06_08_Brady,32,5610,5631
Brady,DARK,DARK,ASL_2011_07_19_Brady,79,153,172
Lana,DARK,DARK,ASL_2006_10_10,6,2495,2513
Dana,DARK,DARK,ASL_2007_05_24,10,2831,2886
Liz,OBSCURE,OBSCURE,ASL_2008_01_18,7,2485,2517
Tyler,OBSCURE,OBSCURE,ASL_2008_05_12b,7,2435,2453
Naomi,OBSCURE,OBSCURE,ASL_2008_08_06,7,2180,2201
